iso3,admin,continent,ncell,burned_frac_pct,p_ann,t_air,gpp,gdp_pcap,fire_resid,gdp_resid
JOR,Jordan,Asia,33,0.025814894194545454,102.367955939856,19.500150388927466,0.006584873607706454,3535.6216200976755,-1.123582148569043,0.17747423686813635
JPN,Japan,Asia,157,0.14374167276924815,1486.8552721617978,10.115884779775573,1.5514562581105216,39936.27566691219,-0.8419379858996067,0.618070322962387
JAM,Jamaica,North America,4,1.331637294619577,1548.7502899169922,18.867081324259445,1.8041016955336475,4817.701269398679,-0.3375737981444499,0.00868622248841966
ITA,Italy,Europe,129,1.7133487742104783,788.9279224791784,12.224234675129999,0.8915545407784884,33000.882584791456,0.1593835728110189,0.6132515140055972
ISR,Israel,Asia,9,0.8446890203683618,274.5621087966209,19.292107384036836,0.19225830310699119,31419.88951549424,-0.23374780365202802,0.955993503785519
PSE,Palestine,Asia,3,0.6460356663837697,360.63793152338246,19.806070757329223,0.43474801099243904,2511.115259680134,-0.4920390893228324,-0.21314381662417192
IRL,Ireland,Europe,40,0.10059979438690739,1166.4368087307555,9.356913394821579,1.515325738461697,57005.156851210064,-0.958279921918854,0.7004969870019089
IRQ,Iraq,Asia,170,0.6422202430269086,180.63278277723302,23.827446275328825,0.0006247568645199488,3951.797480758915,-0.031048853749863686,0.44289015980275837
IRN,Iran,Asia,621,0.32013832851617796,193.30126118037248,17.188773510809,0.02506440171720203,4692.931567786637,-0.30675100425182156,0.2297299793088392
IDN,Indonesia,Asia,608,1.4968913369115853,2694.872602576716,24.518548091265757,2.5292390101081756,2623.0711256319437,-0.5332261177444344,-0.002714433553941298
IND,India,Asia,1115,5.093420353677614,1076.1270350552454,23.194369172664267,0.4350562532675336,1253.739535216265,0.055124910994341025,-0.18805772012259148
ISL,Iceland,Europe,76,0.00580200282992781,892.4259727202112,1.2114241013106182,0.2678493896607234,53672.89183511385,-1.702281936241608,0.6483957470586734
HUN,Hungary,Europe,45,1.648264015128785,611.7015427263013,11.848137625310686,0.2674852158681911,12763.135710509108,0.2361446067728394,0.36297732313591746
HND,Honduras,North America,37,8.596836214076374,1873.5748170235865,23.815001848639934,2.371029418014464,1853.8996498877543,0.21876034015086399,-0.2420631110441942
HTI,Haiti,North America,13,1.9727567967622128,1525.0671733945524,24.56108236880599,0.5422761952543124,1133.876604668916,-0.43557367371730327,-0.1508779637560611
GUY,Guyana,South America,67,0.9371849321591198,2359.1861268151647,24.951891287553543,3.0245528147771714,4142.920438033771,-0.7823181111599463,0.1393333857354282
GNB,Guinea-Bissau,Africa,11,29.570730091642602,1547.77710219851,24.977206081587422,0.4601996669511943,601.5214666470343,0.7243355912726376,-0.37666486949827904
GIN,Guinea,Africa,77,62.86718904472029,1789.9297302158254,26.18272546409714,0.7424606737564399,693.8261867478343,0.9819184878764592,-0.3304133392068893
GTM,Guatemala,North America,40,10.965820700250676,2156.33099000847,22.947177867799258,2.3709761747986895,3044.548064780336,0.3842583219513811,-0.03037288060560428
GRC,Greece,Europe,55,1.5898981006572022,591.5383961058762,12.286821514193889,0.42925538418031783,21494.947031568296,0.18549939157807857,0.5186893604200025
GHA,Ghana,Africa,77,55.92172759940595,1102.0755608271852,25.66098080231982,0.6587476712362935,1338.792819164926,0.9515804804125189,-0.1386522634118914
