=== Model G: fitting Africa  (tag=G_Africa, N_TRIALS=1500)  23:09:08 ===
[I 2026-08-05 23:09:24,398] A new study created in memory with name: no-name-f894e716-50ed-4a8d-a110-f72ccd102180
[I 2026-08-05 23:09:25,853] Trial 0 finished with values: [-0.6048035159299948, 0.28965736009087173] and parameters: {'k1': 0.03635503353478365, 'D_low': 70.18267183720735, 'k2': 0.012758211164590085, 'D_high': 2940.51756322311, 'fire_exp': 1.165368636520435, 'P_half': 12.808863354047988, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.1476584299248268, 'gpp_b': 0.0005752434266899163, 'gpp_d': 660.9129108295722, 'ign_k': 8.708806168038567, 'ign_c': 20.03995359361212}.
[I 2026-08-05 23:09:55,700] Trial 21 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.05778755734457457, 'D_low': 6542.056762893129, 'k2': 0.04565176372646328, 'D_high': 302.4369161272648, 'fire_exp': 1.0362310858538248, 'P_half': 5167.425813322413, 'pre_dampen_half': 1.3833139021965035, 'gpp_af': 68.11991466118579, 'gpp_b': 6.049505313715197, 'gpp_d': 184.0972398983907, 'ign_k': 0.015058980408366392, 'ign_c': 3.470490935437501}.
[I 2026-08-05 23:09:57,122] Trial 22 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.025383218374507292, 'D_low': 18.522006003174383, 'k2': 4.763991596630584e-05, 'D_high': 1687.3495104568947, 'fire_exp': 8.63286151453424, 'P_half': 608.3019192425825, 'pre_dampen_half': 7.084445284509009, 'gpp_af': 0.0030611349005284453, 'gpp_b': 0.04898277215907763, 'gpp_d': 891.8036602897795, 'ign_k': 0.0036335911653931643, 'ign_c': 11.83909783475769}.
[I 2026-08-05 23:09:58,530] Trial 23 finished with values: [10.71522307455318, 10.71522307455318] and parameters: {'k1': 0.03232155805617897, 'D_low': 918.4900818511542, 'k2': 0.006138509947844854, 'D_high': 6455.595882939566, 'fire_exp': 2.2881850891698634, 'P_half': 14.94057723907974, 'pre_dampen_half': 111.37963167994629, 'gpp_af': 11.234842109991876, 'gpp_b': 1.5938003265859821, 'gpp_d': 368.30088529547436, 'ign_k': 0.11101191524846071, 'ign_c': 10.140635645866492}.
[I 2026-08-05 23:09:59,927] Trial 24 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.015602015889668856, 'D_low': 397.9749374103113, 'k2': 0.006424916813668931, 'D_high': 15246.518242848602, 'fire_exp': 7.762566645187935, 'P_half': 22.4895428439145, 'pre_dampen_half': 0.7549440440422736, 'gpp_af': 0.002950595659493296, 'gpp_b': 0.029490412408101685, 'gpp_d': 0.015125556736397565, 'ign_k': 0.0728437126516689, 'ign_c': 14.810800730363484}.
[I 2026-08-05 23:10:01,482] Trial 25 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.00014001191914113747, 'D_low': 230.8516815110801, 'k2': 1.3243445838637965e-05, 'D_high': 14.10563867753527, 'fire_exp': 6.64661557126371, 'P_half': 27.59069025439785, 'pre_dampen_half': 0.043181981126981975, 'gpp_af': 0.4085228003668622, 'gpp_b': 0.4168322557207811, 'gpp_d': 0.11997897226934479, 'ign_k': 0.31014294272127446, 'ign_c': 0.21947742689197342}.
[I 2026-08-05 23:10:03,033] Trial 26 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 1.6096330648219375e-05, 'D_low': 133.4807155996069, 'k2': 0.0014539199187561544, 'D_high': 3545.843846227985, 'fire_exp': 5.322201753534139, 'P_half': 8005.866020696464, 'pre_dampen_half': 3.815063241036454, 'gpp_af': 0.041189105896489775, 'gpp_b': 0.5903603324157484, 'gpp_d': 0.22602748689012583, 'ign_k': 0.057001421052469435, 'ign_c': 0.2059802236544963}.
[I 2026-08-05 23:10:04,531] Trial 27 finished with values: [10.767547531879668, 10.767547531879668] and parameters: {'k1': 1.2629989039319992e-05, 'D_low': 7089.141723796886, 'k2': 0.02207600491318518, 'D_high': 6079.905434073399, 'fire_exp': 2.5642061910321017, 'P_half': 4.933751600448339, 'pre_dampen_half': 0.06055990892372905, 'gpp_af': 0.017832592720985762, 'gpp_b': 0.01974058362112495, 'gpp_d': 37.40930273158252, 'ign_k': 0.43731009905162666, 'ign_c': 1.317454386434276}.
[I 2026-08-05 23:10:05,939] Trial 28 finished with values: [10.76671598201545, 10.76671598201545] and parameters: {'k1': 0.06598741607403362, 'D_low': 894.5150807271528, 'k2': 0.0016497426799845453, 'D_high': 2798.2272717049286, 'fire_exp': 2.627846918579106, 'P_half': 9.793184984206247, 'pre_dampen_half': 0.6023700815747873, 'gpp_af': 6.155035361040188, 'gpp_b': 1.220003093173824e-05, 'gpp_d': 0.03805074835058821, 'ign_k': 0.0015276032303600073, 'ign_c': 0.14551749476072262}.
[I 2026-08-05 23:10:07,525] Trial 29 finished with values: [10.768924948311865, 10.768924948311865] and parameters: {'k1': 0.02641449645424223, 'D_low': 652.5765108342365, 'k2': 0.0007883068789768041, 'D_high': 24.622754931226588, 'fire_exp': 3.1018148805490564, 'P_half': 78.32259769732477, 'pre_dampen_half': 0.07345296810407675, 'gpp_af': 0.14765842992482675, 'gpp_b': 0.0024605285374226047, 'gpp_d': 12.00191344086031, 'ign_k': 0.34703605955441524, 'ign_c': 0.15178052094448868}.
[I 2026-08-05 23:10:09,330] Trial 30 finished with values: [10.714373686392284, 10.714373686392284] and parameters: {'k1': 0.00031510149123840285, 'D_low': 318.74227118134144, 'k2': 0.0010293072560417134, 'D_high': 26666.09148594752, 'fire_exp': 4.557153230489669, 'P_half': 4.484744524732794, 'pre_dampen_half': 0.02253428262837267, 'gpp_af': 1.6296576926690896, 'gpp_b': 1.4423407153852965e-05, 'gpp_d': 8.489417776525737, 'ign_k': 5.766615111348428, 'ign_c': 20.03995359361213}.
