path,sha256,bytes,parameter_count,declared_model
model/parameters/coupled-gfed5/params.Gtrop_SAmerica.k4.json,a4841c02d95d573f9bd1903e0d6c042e3959b5bef3b287632ec5bbd8457d3939,1750,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_SAmerica.k5.json,14a2b2b80303fc718c623c309e704766c319e18e519e354c6bc3efd3730dc9b7,1751,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_SEAsia.json,9d59a0119f3fcc68168ba53750877df12b8f1ee2b5639f4503a4f6ab8c837a7c,1630,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_SEAsia.k1.json,ac54b617694e2712a71805cdc8b3bd5bf3dffa6b6e05cf49cdfaa3a402f1b0c3,1746,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_SEAsia.k2.json,a6991c5af5424794859b9ed8bb19c32da015a5ebf9988cf9439f37385a11cee9,1746,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_SEAsia.k3.json,40466708438e8aea89f6c15604111f9f0d0a2281bf4e774352beb89ca3432875,1744,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_SEAsia.k4.json,9402f545d9487c8166228e7e6bb3264fe28aadfadf217a70e0846d6bb71569d7,1744,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.Gtrop_SEAsia.k5.json,32b565a643d9ca0e4ce375165f7f23a3b08ca7c0ca9770d0c3deac44fbd8d441,1745,14,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.H.json,fbae72395a12981f09e393579fcf005ed9bec3e49e9c76f0bc246cc731c3d56d,1598,13,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.H.k1.json,263628f7b354cb1ace70376d5be8ca4aab9608aab0c777e95771bcabda8ec2db,1715,13,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
